curriculum_id,entrance_year,course_id,course_category,course_name,course_year,credit_required,credit_elective,course_summary,course_keyword
120,2019,AFS 202,武蔵野BASIS,フィールド・スタディーズ発展２Ｂ,2,0,2,"台湾について一歩踏み込んで深く学び、そして考える講座。
講義内容は歴史、文化、言語、民俗、日本との関りなど、多岐にわたるが、
本講座を通じ、全体像として隣国・台湾に対するイメージを培い、
「台湾」を偏りなく理解し、語れる人材を育て上げることを目的とする。

台湾現地研修は現地の人々との交流を通じ、
異文化理解、コミュニケーション、国際感覚の培養、実際の生活体験など、
さまざまな切り口から「異文化」に触れ、国際人としての「感覚」を磨く。
さらに、異なった文化背景を持つ人々との接触を通じ、
「自分とは何か」、「日本人とは何か」を見つめ直し、
そこから、国際社会において、「いかに生きていくか」というポイントを模索する。
台北のみならず、地方都市や田舎の魅力にも触れ、人々との交流も実施。
コースには古民家宿泊体験やフルーツ農場の参観など、
通常の旅行では体験しえない素材をたっぷり盛り込む。

台湾研修ができず、オンライン講義となった場合は、
台湾に対しての知識や理解を培養するだけでなく、
台湾の「空気」を伝えるべく、講師の日常生活や取材体験などを講義に盛り込み、
楽しく台湾の姿に触れることも重視する。


講義・台湾現地研修についての共通事項として、「学ぶことのアプローチ」を重視する。
具体的には以下を学生に伝えていく。

１　どんなことでもじっと見つめてみる
２　自分なりの仮説を立てる
３　複数のアプローチで、その仮説を実証・検証する
４　整理したことを記録する（メモ）する
５　以上の過程を自分の言葉で表現する
６　複数のツールを用い、発信する

※　具体的な手法と事例は授業の中で詳しく解説していく。 ",フィールド・スタディーズ・発展・2B・台湾・体験・講義・理解・現地
121,2019,AFS 203,武蔵野BASIS,フィールド・スタディーズ発展２Ｃ,2,0,3,"実社会における企業の社会的責任の理解を深めるために、ニッセイエブロ社および他社のCSR報告書を、学生が中心となり作成し，国連グローバルコンパクト事務局に提出する．さらに、ニッセイエブロ社を対象に、国連が宣言した持続可能な開発目標であるSDGｓ実践例として、分析し、それらの情報発信を行う．
適宜、教員立ち合い無しの学生のみのグループディスカッションなども実施し、学生主体の学びを実践する．
また、担当教員や受入先指示のもと、調査や資料作成などを行う可能性がある. ",フィールド・スタディーズ・発展・C・学生・ニッセイエブロ・作成・実践・教員
122,2019,AFS 204,武蔵野BASIS,フィールド・スタディーズ発展２Ｄ,2,0,4,"映画制作の道のりは、おもに、三つに分かれています。
先ず、一つ目は、プリプロダクションと言います。これは準備期間を意味します。取材によって、企画書、脚本を作成し、それをもとに、キャスティング、ロケーションハンティングなどを行います。
二つ目は、プロダクション。プロダクションは撮影期間です。撮影では、撮影部、録音部、制作部、演出部、俳優部（外部から俳優を要請する予定ですが、受講者が出演する場合もあります）など、様々な部署があります。皆さんには興味のあるパートを選択してもらい、それぞれの役割を担ってもらいます。因みに、撮影機材は、プロが使用するカメラやマイクや照明を使います。
三つ目は、ポストプロダクションと言います。これは、仕上げ期間です。「ラッシュ」と呼ばれる撮影された映像素材をみんなで観て、議論を重ねながら編集し、作品を完成させます。このようなプロセスを経験することで、映像制作の基礎的な力を身につけることができます。
加えて、映像制作のだいご味は「集団創造」です。主体的に思考し、調査し、行動し、チームで協力しあうことで、はじめてひとつの作品が創造できることを体感してもらいます。
また、地域や企業と連携することで、社会や産業界の現状を理解し、その解決策、実行力を身につけてもらいたいと思います。

＊注意事項
・西東京市と連携し、市のPR短編映画を制作するため、基本的に学外学習は「西東京市」で行います。
・撮影機材の関係上、事前、事後学習は基本的に「武蔵野キャンパス」で行います。
・スケジュールは、「授業計画」欄に記載していますので必ず確認してください。
・新型コロナウィルスの影響により、オンライン授業になった場合は「集団制作」ではなく「個人制作」に変更となる可能があります。
「教員が指定した学外の施設に学生一人に行く」、「教員立ち合い無しでZOOM等を使用し、受入先・実習先へのヒアリング・インタビューをする」などを行う可能性もあります。 ",フィールド・スタディーズ・発展・2D・制作・撮影・映像・プロダクション・期間
123,2019,AFS 205,武蔵野BASIS,フィールド・スタディーズ発展２Ｅ,2,0,5,,
124,2019,AFS 301,武蔵野BASIS,フィールド・スタディーズ発展３Ａ,3,0,1,,
125,2019,AFS 302,武蔵野BASIS,フィールド・スタディーズ発展３Ｂ,3,0,2,"１．プログラム形態について
本プログラムは対面実施を前提とした学外学修プログラムとなり、三密対策を十分に講じたうえで海外研修を実施します。
２．大学の方針により対面実施が不可となった場合の代替オンラインプログラムの有無について
学外学修プログラムは大学の方針により海外渡航が不可となった場合、国内での代替プログラムの実施を予定しています。国内外ともに学外での学修が不可となった場合、実施時期の延期やオンラインプログラムへの移行等を予定しております。実施形態や実施時期が変更となっても、原則として途中で辞退はできません。 ",フィールド・スタディーズ・発展・3B・プログラム・実施・学外・学修・不可
126,2019,AFS 303,武蔵野BASIS,フィールド・スタディーズ発展３Ｃ,3,0,3,"（内容）
広告・ブランディング分野で働くコピーライターの技術やノウハウを学び、情報のアウトプット力（取材やヒアリングにより情報を集め、整理し、伝わるように言語化、編集、発信する力）を高める。本プログラム「コピーライティング応用（発展3C）」では、社会で働くクリエイターと対話する機会を増やしたり、より外部連携企業、自治体の課題解決に貢献することを目指した活動に取り組む。
企業、製品のブランディング・広告制作を担うコピーライターとして、または企業・自治体の宣伝・広報部門で活躍する人材になるための実践的な力を身につける。

（プログラム形態）
本プログラムは「事前学修」「事後学修」はZOOMによるオンラインでの実施を基本とします（武蔵野・有明の両キャンパスの学生が参加しやすいように）。「学外学修」は対面実習を前提としたプログラムとなり、三密対策を十分に講じたうえで学外学修を実施します。しかし、大学の方針により対面実施が不可となった場合は、履修者全員でオンラインプログラムへ移行します。オンラインに切り替わっても途中で履修の辞退はできません。

オンライン学外学修の実施方法としては、「ZOOM等を使用し、受入先・実習先へのヒアリング・インタビューを行う（教員立会いあり・なし両方）」「ZOOM等を使用し、グループディスカッション、共同作業を行う（教員立会いあり・なし両方）」「ZOOM等を使用し、発表・プレゼンテーションを行う（教員立会いあり）」を予定しています。 ",フィールド・スタディーズ・発展・C・プログラム・学修・ZOOM・オンライン・実施
127,2019,AFS 304,武蔵野BASIS,フィールド・スタディーズ発展３Ｄ,3,0,4,"映画制作の道のりは、おもに、三つに分かれています。
先ず、一つ目は、プリプロダクションと言います。これは準備期間を意味します。取材によって、企画書、脚本を作成し、それをもとに、キャスティング、ロケーションハンティングなどを行います。
二つ目は、プロダクション。プロダクションは撮影期間です。撮影では、撮影部、録音部、制作部、演出部、俳優部（外部から俳優を要請する予定ですが、受講者が出演する場合もあります）など、様々な部署があります。皆さんには興味のあるパートを選択してもらい、それぞれの役割を担ってもらいます。因みに、撮影機材は、プロが使用するカメラやマイクや照明を使います。
三つ目は、ポストプロダクションと言います。これは、仕上げ期間です。「ラッシュ」と呼ばれる撮影された映像素材をみんなで観て、議論を重ねながら編集し、作品を完成させます。このようなプロセスを経験することで、映像制作の基礎的な力を身につけることができます。
加えて、映像制作のだいご味は「集団創造」です。主体的に思考し、調査し、行動し、チームで協力しあうことで、はじめてひとつの作品が創造できることを体感してもらいます。
また、地域や企業と連携することで、社会や産業界の現状を理解し、その解決策、実行力を身につけてもらいたいと思います。

＊注意事項
・西東京市と連携し、市のPR短編映画を制作するため、基本的に学外学習は「西東京市」で行います。
・撮影機材の関係上、事前、事後学習は基本的に「武蔵野キャンパス」で行います。
・スケジュールは、「授業計画」欄に記載していますので必ず確認してください。
・新型コロナウィルスの影響により、オンライン授業になった場合は「集団制作」ではなく「個人制作」に変更となる可能があります。
「教員が指定した学外の施設に学生一人に行く」、「教員立ち合い無しでZOOM等を使用し、受入先・実習先へのヒアリング・インタビューをする」などを行う可能性もあります。 ",フィールド・スタディーズ・発展・3D・制作・撮影・映像・プロダクション・期間
128,2019,AFS 305,武蔵野BASIS,フィールド・スタディーズ発展３Ｅ,3,0,5,,
129,2019,AFS 401,武蔵野BASIS,フィールド・スタディーズ発展４Ａ,4,0,1,,
130,2019,AFS 402,武蔵野BASIS,フィールド・スタディーズ発展４Ｂ,4,0,2,,
131,2019,AFS 403,武蔵野BASIS,フィールド・スタディーズ発展４Ｃ,4,0,3,,
132,2019,AFS 404,武蔵野BASIS,フィールド・スタディーズ発展４Ｄ,4,0,4,"長野県信濃町の課題発掘と課題解決のための調査考察を行う。地方創生、地域活性化、6次産業などにおける他の地域の事例を抽出し、より多角的に地域の課題抽出を理解する。前半はグループでの活動を行い、町役場での発表を目指して提案をまとめる。後半は個人でのテーマを発掘し、論文としてまとめる。
前年度までに学んできた手法、考え方を活用し、より積極的に情報の収集、発信を試みる。さらに、実社会との接点となる実践的な提案にチャレンジする。チームだけでなく、受講者全般の活動をリードする。

対面授業が不可となった場合、学外学修の日程を変更して、夏休み中にオンライン授業を行います。12日間の集中講義の予定。
オンライン授業では教員立ち合い無しのグループディスカッションやメールなどによる現地へのヒヤリング調査なども行います。 ",フィールド・スタディーズ・発展・4D・授業・課題・発掘・調査・地域
133,2019,INT 201,武蔵野BASIS,インターンシップ（事前研究）,2,0,1,"インターンシップに必要な最低限の知識、能力、心構えなどを理解する。
本講義を通して、自らの進路決定に向けての準備をおこない、企業や自治体などで「働く」ために必要な基礎的な力を身につけることが期待される。 ",インターンシップ・事前・研究・必要・最低限・知識・能力
134,2019,INT 211,武蔵野BASIS,インターンシップ１,2,0,1,"・大学の長期休暇期間等を利用して、企業や自治体等で5日以上10日未満の就業体験を行う。
・志望業界・職種の実際を理解し、自己の将来設計に結び付ける。
・実習を通して、大学での学びの必要性を再認識する
・実習前に事前指導「インターンシップ（事前研究）」を必ず受講する。
・実習後、実習成果報告課題（動画）を作成し、その過程で実習の体験を整理する。 ",インターンシップ・実習・大学・事前・長期・休暇
135,2019,INT 212,武蔵野BASIS,インターンシップ２,2,0,2,"・大学の長期休暇期間等を利用して、企業や自治体等で10日以上の就業体験を行う。
・志望業界・職種の実際を理解し、自己の将来設計に結び付ける。
・実習を通して、大学での学びの必要性を再認識する
・実習前に事前指導「インターンシップ（事前研究）」を必ず受講する。
・実習後、実習成果報告課題（動画）を作成し、その過程で実習の体験を整理する。 ",インターンシップ・実習・大学・事前・長期・休暇
136,2019,INT 213,武蔵野BASIS,インターンシップ３,2,0,4,,
137,2019,INT 214,武蔵野BASIS,インターンシップ４,2,0,6,,
138,2019,INT 221,武蔵野BASIS,海外インターンシップ１,2,0,4,,
139,2019,INT 222,武蔵野BASIS,海外インターンシップ２,2,0,6,,
140,2019,INT 223,武蔵野BASIS,海外インターンシップ３,2,0,8,,
141,2019,SUBM 201,武蔵野BASIS,サブ・メジャー（ゼミナール）１,2,0,2,,
142,2019,SUBM 202,武蔵野BASIS,サブ・メジャー（ゼミナール）２,2,0,4,,
143,2019,SUBM 311,武蔵野BASIS,サブ・メジャー（総合研究）１,3,0,2,,
144,2019,SUBM 312,武蔵野BASIS,サブ・メジャー（総合研究）２,3,0,4,,
145,2019,EC 101,武蔵野BASIS,寄付講座1,1,0,2,,
146,2019,EC 201,武蔵野BASIS,資⾦計画論,2,0,2,,
147,2019,EC 202,武蔵野BASIS,証券ビジネス論,2,0,2,"直接金融への期待が高まる現在、資本市場に求められる役割とは何かを考える。
激変する日本や世界の資本市場の全容と、投資のリスク＆リターンの考え方、株式投資・債券投資・グローバル証券投資・分散投資の方法などを解説する。
野村證券社員が講師を務め、仕事の中で経験した実例などを折り込み講義を行う。 ",証券・ビジネス・投資・資本市場・直接金融・期待・現在
148,2019,EC 203,武蔵野BASIS,経済教育論,2,0,2,,
149,2019,EC 204,武蔵野BASIS,⾦融リテラシー(⾦融と⼈⽣設計),2,0,2,,
150,2019,EC 205,武蔵野BASIS,未来型都市とメディア,2,0,2,,
151,2019,DS 101,学科,データサイエンス学,1,2,0,"データサイエンスは、21世紀を切り拓くビッグデータ分析、人工知能などの新技術を包含するだけでなく、社会、ビジネス、自然環境における問題解決に不可欠な基盤的な科学となってきている。本講義は、データサイエンスの今日的な意義、歴史・将来展望、基礎的な知識、学習方法を俯瞰的に学習するとともに、実際にデータサイエンスのもたらすビジネス・社会的なインパクト事例や最新の研究トピックスを紹介を通じてその重要性についの理解を深めてもらう。
これらの講義を通じてデータサイエンス学の俯瞰的な見方や学びの体系的な整理を表現したデータサイエンスマンダラートの完成を目標とする。
あわせて、データサイエンス学科のユニークで実績のあるグループ協調学習を基軸にした自律的・能動的な学習方法の習得も大事な学習目標である。 ",データサイエンス・学習・社会・ビジネス・講義
152,2019,INFO 141,学科,⼈類と⼈⼯知能(AI),1,2,0,"データサイエンスは、21世紀を切り拓くビッグデータ分析、人工知能などの新技術を包含するだけでなく、社会、ビジネス、自然環境における問題解決に不可欠な基盤的な科学となってきている。本講義は、データサイエンスの今日的な意義、歴史・将来展望、基礎的な知識、学習方法を俯瞰的に学習するとともに、実際にデータサイエンスのもたらすビジネス・社会的なインパクト事例や最新の研究トピックスを紹介を通じてその重要性についの理解を深めてもらう。
これらの講義を通じてデータサイエンス学の俯瞰的な見方や学びの体系的な整理を表現したデータサイエンスマンダラートの完成を目標とする。
あわせて、データサイエンス学科のユニークで実績のあるグループ協調学習を基軸にした自律的・能動的な学習方法の習得も大事な学習目標である。 ",データサイエンス・学習・社会・ビジネス・講義
153,2019,CS 101,学科,メディアクリエーション・データデザイン演習Ⅰ,1,1,0,"本科目は、人工知能（AI）の基盤となるサイバー・フィジカルスペース、その中核をなすデータベース、サイバー・フィジカルスペースの実現のためのプログラミング技法、その応用について取り扱う。

サイバー・フィジカルスペースは、物理空間（実空間）と情報空間を融合した空間のことである。
この融合空間は人・モノ・環境の状況や動きをデータ計測するセンサ技術、計測により得られる各種データを統合・分析するデータベース、データマイニング技術、データ分析により物理空間において駆動する機器（アクチュエータ）が連動することにより実現される。

本科目では、履修者はオンラインショッピングシステムを例に、Pythonプログラミング、データベース、データマイニング、IoTセンサ機器を用いたデータ計測、Web技術の基本について実習を伴いながら習得する。
プログラミング言語にはPython、データベースシステムにはPandasを用いる。

さらに、物理空間（実空間）の情報統合により実現される物理空間（実空間）と情報空間の融合空間（サイバー・フィジカルスペース）と実世界コンピューティングについて触れる。 ",メディアクリエーション・データデザイン・演習・空間・物理・データベース・CY8ER・フィジカル
154,2019,CS 102,学科,メディアクリエーション・データデザイン演習Ⅱ,1,1,0,プログラミングによるビジュアル・インタラクティブ表現の入門として適した開発環境「Processing：Pythonモード」を用いて、デジタルメディア（テキスト、画像、2D・3DCG、音）のデータ処理やビジュアリゼーション、新たな価値や体験のクリエーションをおこなう。本科目ではデジタルメディアに関する基本的な知識を獲得し、目的に応じてそれらを適切に組み合わせ、プログラミングする力を養うことを目的とする。また、プログラミングだけでなく学会発表等に向けた論文（レポ−ト）の書き方（体裁面に限る）を修得する。,メディアクリエーション・データデザイン・演習・プログラミング・デジタルメディア・目的・ビジュアル・インタラクティブ
155,2019,INFO 101,学科,データサイエンスプログラミング演習Ⅰ,1,1,0,データを処理・分析する前に生データをクレンジングする作業「データの前処理」はデータ分析プロセスにおいて重要は工程である。本演習ではPythonのライブラリPandasを中心にデータクレンジングおよびデータビジュアリゼーション手法の習得を目指す。,データサイエンス・プログラミング・演習・データ・処理・クレンジング・分析・生データ
156,2019,INFO 102,学科,データサイエンスプログラミング演習Ⅱ,1,1,0,ビッグデータ、メディア・データを対象にその蓄積、共有、統合、想起、配信、そして応用を実現するためには、プログラミング技能が不可欠である。本演習では、「データサイエンスプログラミング演習Ⅰ」の授業で学んだPythonプログラミングの基礎を踏まえながら、オプジェクト指向や例外処理等のプログラミング応用技術について学ぶ。また、Webスクレピング手法についても修得する。さらに，GitやGitHubを用いたグループ開発手法についても習得する．,データサイエンス・プログラミング・演習・手法・ビッグデータ・メディア
157,2019,INFO 211,学科,データと数理Ⅰ,2,2,0,ベクトル、行列、線形変換の概念はデータサイエンスにおいて基本となり、様々なデータ処理に用いられる。これらの概念を正しく理解し、利活用、応用できることは、データサイエンティストとして必須である。本講義では、ベクトルや行列の基本演算から、逆行列、線形変換、固有値分解の諸概念を学ぶとともに、これらをどのような応用に適用できるかについて議論する。数理的背景、演算方法のみならず、Pythonの簡単なプログラミングを通じて利活用方法についても学ぶ。,データ・理Ⅰ・概念・ベクトル・行列・線形・変換
158,2019,INFO 212,学科,データと数理Ⅱ,2,2,0,本授業では、微積分をPythonプログラミングを用いた演習形式で学ぶ。微積分の必要になる場面や、文明に及ぼした影響などを踏まえたうえで、数式をプログラミングによって逐一グラフ化して確認しながら、実感を持った形で微積分を学ぶことを目指す。,データ・理Ⅱ・微積分・プログラミング・授業・Python・演習
159,2019,ECO 201,学科,データと経済統計,2,2,0,データサイエンスおよび経済、ビジネスにおいて現状を把握するための必要なツールは統計である。統計は獲得したデータからそのデータの背後にある性質を理解する数理的な手法である。本講義では、データと数理ⅠおよびⅡを受けて、具体的なビッグデータ・オープンデータを対象として、統計を用いたデータ分析手法について述べる。具体的には、相関分析、回帰分析、最小二乗法などの基本概念と使い方について学習する。また、上記の各単元の概念について問題を解くことにより理解を深めていく。,データ・経済・統計・お呼び・理解・手法
160,2019,ECO 202,学科,データと計量経済学,2,2,0,ベイズ統計は計量経済学や現在の機械学習の考え方の根本をなす分野である。例えば、推計統計学の考え方では、今ある標本データをまとめて分析するのに対し、ベイズ統計では新たなデータを付け加えた場合、そのデータによって更新をしていくことができる。これは今日の機械学習の考え方の基本となる。本講義では、いわゆる「ベイジアン」の基礎を論じていくと同時に、実際にPython、PyMC3を用いて具体的な活用シーンを示す。,データ・計量経済学・考え方・ベイズ・統計・機械学習
161,2019,CS 111,学科,ソーシャルイノベーションの起こし⽅,1,2,0,本講義では、国連が提唱するSDGs（持続可能な開発目標）に寄与する社会構築を目指し、社会、環境、科学技術、経営、医療、教育、経済、政策、国際関係における多様なイシューを対象として、効果的・効率的かつ持続可能な価値を創造するソーシャルイノベーションをデザインする。また、様々な社会のイシューの解決に挑む個人・組織・共同体の事例の検証を行う。グループワークによるビジネスデザインを実践的に行うことにより、社会において今何が必要なのかを考える力と共に、これから何が有効なのかを想像・創造する力を身につける。公共およびビジネスの現場における実際のソーシャルイノベーターをゲストスピーカーとして招き、制度改革や技術革新、ビジネス実践を実行した経験と発想、そして「志」を直に学ぶことにより、新時代イノベーターの持つべき素養への知見獲得とその本質の理解を目指す。また、データサイエンティストとして、イシューの発見および解決方法の解明をデータ分析・統合によって実現する方法について理解する。,ソーシャル・イノベーション・社会・イシュー・ビジネス・創造・デザイン
162,2019,ES 201,学科,グリーンエコノミー基礎,2,2,0,地球温暖化など環境問題への対応を検討する際、現在に至る国際的な産業技術の発展史を再検討することが不可欠である。特に、本講義では、社会と技術の接点、具体的には、過去の多様なケーススタディを学ぶ。さらに、問題の設定、問題の解決を含む社会のニーズに基づいた技術開発プロジェクトの推進過程や、技術が社会に与える影響を明らかにすることで、SDGsに代表される国際的な課題への対応を議論する。,グリーン・エコノミー・基礎・技術・社会・対応・国際・問題
163,2019,INFO 205,学科,サイバーフィジカルシステム,2,2,0,21世紀は、デジタルな情報空間（Bit)と物理的な空間（Atom)が融合されたサイバーフィジカル空間が社会・ビジネス・人間の活動の基盤となる。自動走行車やポケモンGOなどは、サイバーフィジカルの到来を象徴する先行的なプロダクトやサービスである。本学のデータサイエンスは、サイバーフィジカル空間を前提とした実学として機能することを念頭に構築されている。本講義では、サイバーフィジカル空間を支える基盤的な技術やサービスについて俯瞰的な理解を与えると共に、キーコンセプトや技術については活用方法についても言及する。学修はゲストスピーカによる事例研究とそれに基づく課題演習を基軸とした実践的・体験的なものである。最終課題は、サイバーフィジカル環境を前提としたデータ駆動型のUXサービスデザインを通じて価値創造スキルを身に付けるものである。,サイバーフィジカルシステム・空間・CY8ER・フィジカル・基盤・サービス
164,2019,INFO 121,学科,機械学習と深層学習,1,2,0,機械学習とは、コンピュータがデータに含まれる特徴を反復的に学習することにより分類、認識、検知を実現するデータ分析技術である。機械学習には、ディープラーニングをはじめ、決定木、ブースティング、サポートベクターマシンなど、様々な手法が提案されている。これらの手法は、画像認識、顔認証、音声認識などのアプリケーションを通じて実社会において広く使われている。本講義では、Pythonによるコーディングとともに、各機械学習技術の特徴や使い方について理解する。,機械学習・深層学習・特徴・認識・技術・手法
165,2019,INFO 206,学科,Webテクノロジ,2,2,0,eラーニングを用いてWebを支える最も基本的な技術であるHTTP（Hypertext Transfer Protocol）とURI（Uniform Resource Identifier）、HTMLの基本知識を修得する。また、ポートフォリオ制作を通じてHTMLとCSS、JavaScriptのプログラミング手法の修得を目指す。,Web・テクノロジ・基本・HTML・修得・eラーニング
166,2019,INFO 221,学科,複合現実,2,2,0,複合現実(MR:Mixed Reality)は、1980年代にスタートしたVR(Virtual Reality)研究が発展する過程で、1990年代に提案された言葉である。現実世界とバーチャル世界を融合する、多様な手法を統合した概念がMRである。本講義ではMRの根底にあるVRの基礎知識を説明し、その応用分野を紹介する。これらの知識に基づいて、課題発見とソリューション提案をする、グループワークとプレゼンテーションを行う。,複合現実・MR・Reality・VR・提案・知識
167,2019,CS 211,学科,マーケティングデータ分析,2,2,0,"本講義では、国連が提唱するSDGs（持続可能な開発目標）のうち、特にSDG12（責任ある消費と生産）を中心としてSDG8, SDG9, SDG10, SDG11に寄与する社会構築を目指し、社会経済活動および環境・エネルギー資源に関する多様なイシューを対象として、探索的データ解析（EDA）、データマイニング、データベース管理技術、社会統計学、計量経済学に基づくデータ分析手法について解説する。企業経営から培われたマーケティングデータ分析技術とその広範な社会分析への応用について、マーケティングの基本的なコンセプトや発想、手法、変遷などと共に解説する。履修者は、実データを対象としたデータの取得・加工・集計、計量分析、時系列分析・予測の実習を行い、データを用いた社会の現状把握、予測、関係性の発見の基本となる実世界の定式化・モデリングのスキルを身に付ける。 ",マーケティング・データ分析・データ・SD・社会・分析・SDG
168,2019,INFO 201,学科,機械学習デザイン演習Ⅰ,2,1,0,今日のデータ分析の現場では，データの大規模化，多様化，更新の高頻度化により，手計算での分析はほぼ不可能となっており，Pythonなどのプログラミング言語を用いて，インタラクティブにデータ分析をしていく能力が必須となっている．つまり，これまでの統計などの数値計算をプログラミングする能力が必要とされている．本演習では，Pythonを用いてニューラルネットワークを使った機械学習手法について演習を行っていく．具体的には，ニューラルネットワークの構造を学ぶ上で，パーセプトロン，逆伝搬誤差法等について学ぶ．,機械学習・デザイン・演習・データ分析・Python・能力・Neural
169,2019,INFO 202,学科,機械学習デザイン演習Ⅱ,2,1,0,"機械学習、特に近年の深層学習モデルには物体の検出、顔の認識、自然言語処理等、分野を問わずさまざまな問題解決に適用できるモデルが提案されている。
本講義では、これら物体検知、顔画像認識、年齢性別推定、姿勢推定、音声認識等、さまざまな深層学習の事前学習モデルを利用することで、モデルと入出力の仕組みについて理解し、学習済みモデルを利用した応用アプリケーションの作成技術を学ぶ。 ",機械学習・デザイン・演習・モデル・深層学習・物体・顔・認識
170,2019,INFO 203,学科,⼈⼯知能(AI)デザイン演習Ⅰ,2,1,0,ディープラーニングに関する基本的な要素技術、ニューラルネットワークにおける学習の流れ、クラウドGPUを含めた、学習モデル構築に必要なハードウェアを適切に選択するための知識を修得する。本演習ではディープラーニングフレームワークPyTorchを用いて学習モデルの構築、学習および推論をおこなう。,人工知能・AI・デザイン・演習・学習・Deep・learning・モデル・構築
171,2019,INFO 204,学科,⼈⼯知能(AI)デザイン演習Ⅱ,2,1,0,ビッグデータ，メディア・データを対象にその蓄積，共有，統合，想起，配信，そして応用を実現するためには，プログラミング技能が不可欠である．本演習では，「人工知能（AI）デザイン演習Ⅰ」の授業で学んだことを踏まえながらPythonを用いて，機械学習手法の一つである強化学習について演習を行っていく．具体的には，強化学習アルゴリズムである方策反復法，価値反復法（Sarsa，Q学習）について学ぶ．さらに，応用として深層学習と強化学習を組み合わせた深層強化学習の基礎についても学ぶ．,人工知能・AI・デザイン・演習・強化学習・応用・反復法・ビッグデータ
172,2019,DS 301,学科,データサイエンス特論,3,2,0,データサイエンス分野における世界的なレベルの先端研究を広く俯瞰し、その基本技術と基礎知識を修得することは重要である。本講義では、自然環境、社会環境を対象としたデータサイエンスの研究動向について、大局的かつ、具体的な研究事例を取り上げて解説し、この分野の先端研究の基礎を形成する。データサイエンス分野の最先端のビジネス、技術と社会応用に関する研究動向について、それら分野の研究者及び実践者の知見をベースとした解説、実習を中心に講義を行う。この講義では、特に、人工知能、知識ベース、サイバー・フィジカル・システム、データサイエンス・ビジネスモデリングを中心とし、独自の研究テーマ設定への知見と基礎技術を修得する。,データサイエンス・特・研究・分野・技術・基礎
173,2019,ECO 301,学科,情報経済特論,3,2,0,"データ・Ai時代の情報経済学

データ・Ai時代の情報経済の実態、価値創造の基本について重要事項を詳説する。
データサイエンス（Data Intensive Science）が律する世界、データ・Ai中心の情報経済時代においては、今までの常識はほとんど通用しない。
目の前の状況、価値は予測を裏切り、目まぐるしく入れ替わり、VUCAが当たり前の市場で価値創造を安定的に実践していかなければならない。その価値創造の基礎となる重要事項について、体系的に詳説する。 ",情報・経済・特・価値・データ・Ai・時代・創造
174,2019,INFO 323,学科,データマイニング,3,2,0,大量のデータの中から有益なルール、関係、パターンなどの知識を抽出する技術をデータマイニングと呼ぶ。データサイエンスにおいて、データマイニングはデータから価値のあるインサイトを発見するのに大変重要なツールとなる。本講義では、データからルール、関係、パターンを抽出するデータマイニングの基本的な考え方と実際のデータを用いたデータマイニングの適用方法について理解を深める。また、オープンデータなどの実際のデータを用いたデータマイニング手法の簡単な実装を含めた演習も行うこととする。,データマイニング・データ・ルール・パターン・抽出
175,2019,INFO 241,学科,⼈⼯知能(AI)テクノロジ,2,0,2,"本科目は、知的な振る舞いを行う情報システムを実現する人工知能の概念理解、機械学習、その実装方法、応用について取り扱う。

本科目では、履修者は交通分野における旅行者の感性を考慮した旅程提案システムを例として、感性データベース、人工知能の基盤技術（クラスタリング、探索、決定木、遺伝的アルゴリズム、ニューラルネットワークなど）、AIプログラミング技法について実習を伴いながら習得する。
リレーショナル・データベースシステムにはPostgreSQL、プログラミング言語にはPythonを用いる。

さらに、人工知能技術の応用として、鉄道、バス、シェアサイクルなどのモビリティの多様化と自動運転技術によるモビリティの高度化によりもたらされる新たなモビリティサービス（MaaS; Mobility as a Service）が人類にもたらすインパクトについて議論する。 ",人工知能・AI・テクノロジ・モビリティ・応用・感性・技術
176,2019,INFO 301,学科,マルチメディア知識ベース,3,0,2,本講義では､ データベース設計､ および､ マルチメディア・データベース（画像、音楽、文書、映像データベース）構築のための方法を実習を伴って習得する｡ まず､ マルチメディアデータベースの構築の方法として、メディア・データ（画像データ、動画データ、音楽データ、ドキュメント・データ）を対象とした検索、編集、統合、データマイニングの実現方法を習得する。メディア・データ、特に、画像データ、音楽データ、ドキュメント・データを対象とし、それらのメディア・データをデータベースに蓄積し、検索、統合するデータベース構築方法を習得する。実際のデータベースシステムを用い、マルチメディアデータによって構成されるデータベースの構築を実習する。,マルチメディア・知識・ベース・データ・データベース・構築・画像
