lec,overvier,keyword
外国の歴史,ヨーロッパ史を中心に、現代世界に通じる様々な問題を論じる。但し単なる概説、通史的な説明にならないように、重要なトピックスを厳選して講義していく予定。過去の出来事を知るだけでなく、それらが「いま」の「われわれ」とどう密接に結びついているかをともに考察していきたい。 ,外国・歴史・ヨーロッパ史・中心・現代・世界・問題
環境学への展望,現代社会を取り巻く多くの環境に関わる問題は，一つの学術分野で整理することができないほど，広範囲に渡っている．本授業では，エネルギーや資源問題に注目し，現代社会が直面している環境問題を取り上げる．講義では，エネルギーをキーワードとした，幅広い関連分野の基礎科学を学ぶことで，環境やエネルギー問題を，科学技術的な視点から評価し，自らの考えを発信できるようになることを狙いとする． ,環境・展望・問題・エネルギー・現代社会・学術分野
芸術のすすめ,"日本の古典芸能には、能・狂言（能楽）・歌舞伎・人形浄瑠璃文楽・組踊などがある。本授業では最初に日本の古典芸能を概観する。続いて、能・狂言について、以下の観点から詳しく学ぶ。
１　能・狂言は室町時代に芸術的な基礎を固めた演劇であり、歌舞劇（ミュージカル）・仮面劇という特徴を持っている。能・狂言の諸作品の講読と鑑賞を通じて、その美を理解する。
２　能・狂言が歌舞伎・人形浄瑠璃文楽などとに与えた影響を知り、総合的視野から日本の古典芸能を追究する。
３　古典芸能を文化財として継承していく意味を討論するなどして、自分自身の考えを深めていく。 ",芸術・すすめ・能・狂言・古典芸能・日本・歌舞伎
現代メディアの探求,"現代社会にはさまざまなメディアが存在しています。わたしたちは日常の中で当然のようにメディアに接し、生活を送っていますが、そもそも、その「あたりまえ」はどのようにして獲得されてきたものなのでしょうか。
この講義では、現代社会のメディア環境について多角的な視点を学ぶことを目標としています。その際、（1）それぞれのメディアがもっている歴史性、それをふまえたうえでの（2）現代メディアにおける諸問題に注目しながら講義を進めていきたいと考えています。
この講義が現代のメディア環境についてあらためて考え直す機会となることを期待します。 ",現代・メディア・探求・講義・現代社会・環境
市民の社会貢献,市民の社会貢献活動について、実例を挙げて学ぶ。事例に挙げるテーマは、貧困解消、平和維持、エコロジー、倫理的消費、国際的規範形成の予定である。本講義を通じて、市民の社会貢献活動に参加するために必要な価値観の形成を目指す。 ,市民・社会貢献・活動・形成・実例
市民生活と権利を考える,"われわれが常識だと思っているもの、あるいは直感的に捉えているものについて「科学」してみましょう。ここで言う「科学」するとは、法学・政治学・経済学・社会学・心理学・倫理学・哲学などの観点から、対象の構造と本質を分析することです。こうした分析によって、自分の生きる近（現）代の市民社会に対する“解像度”が、おそらく飛躍的に高まるはずです。
授業では下記のような７つのテーマを扱いますが、奇数回（第５限目）を事前学習を含めたオフラインでのワーク、偶数回（第６限目）をオンライン上の解説・講義に割り当てます。事前学習においては、予習時間をも合わせて、あらかじめ与えられた指示にしたがって各自がテーマに関する調査と考察を行い、500〜1000字程度のレポートとして提出してもらいます。そしてオンライン上の講義においては、それらの中から優秀なものをサンプルとして紹介し、各テーマを読み解く際に必要な知識、思想、概念等を解説します。これを視聴したのち、自分に足りていなかったものを確認・補充しつつ、今後の研究や生活活動に役立ててください。 ",市民・生活・権利・テーマ・科学・分析・事前・学習
社会現象を分析する,社会現象を分析する主要な方法の一つは、社会調査の結果をもとに分析していく方法である。しかし、世の中にはいいかげんな社会調査や、いいかげんな分析をもとにした主張が蔓延している。そのようなウソを見抜くことは、これからの重要な教養的基礎になる。そこで、社会調査のウソについての問題点を理解し、正しい判断能力を身につけるようにする。さらに自力で、いいかげんな社会調査や、いいかげんな分析をもとにした主張を見抜けるようにする。 ,社会現象・分析・社会調査・いいかげん・主張・ウソ
社会情報と生活,データサイエンス分野における先端研究の動向を把握し、それらの社会環境への活用、および、生活環境における応用を実現することは重要である。本講義では、社会環境、生活環境を対象としたデータサイエンスの研究動向について、大局的、かつ、具体的な研究事例を取り上げ、それらの知識および技術の応用方法を示す。本講義では、特に、人工知能、知識ベース、データマイニング、サイバー・フィジカル・システム、ビジネスモデリングを中心として、社会環境、生活環境への応用のための概念と基礎知識を解説する。 ,社会・情報・生活・研究・社会環境・生活環境・応用・知識
人間の心理を探る,"講義前半では，人間の行動と、その背景にある「こころ」の仕組みを科学的に解明するという心理学の基礎理論を概観する．後半では，心理学の応用分野を学び，日常生活と心理学の関連について学習する．そのことによって，心理学が現実社会でどのように活かされているかについて理解を深める．
学期を通して，心理学の面白さと幅広さを講義や実験を通して感じてもらうとともに，講義課題として行う事例問題に取り組む経験を通して，各人の専門科目の学習や卒業後の活動に応用できるような客観的思考能力，問題解決能力を養う． ",人間・心理・心理学・講義・応用・学習・前半
数学的ものの考え方,「平面幾何と数学のあゆみ」を全体のテーマとする。数学は非常に古い学問であるが近年非常に大きな発展をしている。歴史を振り返りながら数学の考え方がどのように整備されてきたかを概観する。予定している話題はほぼ次のものである。１．ピタゴラスの定理をめぐって：２．デカルト・フェルマー・パスカル　／メルセンヌ：３．ニュートンの万有引力の法則：４．複素数と方程式、三角関数と指数関数：５．ガウスの代数学の基本定理：６．曲面の表し方、曲面の幾何と曲率：７．リーマン球面・楕円曲線・リーマン面．これらの話題について講義、演習を交互に行いつつ 授業を進める。予習内容、復習内容の提出を求め、それに対して講義内で必要なフィードバックをおこなう。提出された内容により成績を評価する。 ,数学・考え方・内容・幾何・非常・話題
生命科学と人間,「生命科学の時代」といわれる現代に必要な生命科学の基礎を概説する。まず、生命とは何かについて、タンパク質に注目して解説する。次に、ウイルスがヒトに感染するしくみや、免疫やアレルギーについて説明する。さらに、さまざまな疾患の治療薬やワクチンを開発する方法、および、タンパク質をデザインして医療や産業に役立てる方法などについても概説する。近年、新たなウイルスが5-6年おきに出現しているため、このような生命科学の基礎を教養として身につけておくことは、文系・理系を問わず必要不可欠であろう。 ,生命科学・人間・必要・基礎・概説・タンパク質
哲学への探索,"哲学・倫理学の基本的問題について知ることができるようになると同時に、「哲学的に考える」ことの訓練を通じて柔軟な思考力、論理的思考能力を身につけることがこの授業の目的である。
授業は、毎回、哲学・倫理学の様々なテーマについて講義する動画を視聴してもらった上で、自分の考えを展開し、適切に表現し伝える力をつけてもらう。また、グループワークによって、共同作業での自己表現の力をつける。 ",哲学・探索・倫理学・授業・表現・基本的
日本の歴史,貞永式目の講読を通じて、鎌倉幕府における将軍・守護・御家人の制度的関係を理解し、中世武家社会の多様な諸相を学ぶ。院政期・平氏政権・鎌倉幕府の成立と源氏将軍時代を経て、執権政治へと展開する中世社会を理解するうえで、貞永式目条文と必要な追加法を読み解きながら、幕府政治の展開と朝廷・公家との関係、さらに御家人と中世の女性の権利や義務などを具体的な事例で解説する。 ,日本の歴史・貞永式目・鎌倉幕府・御家人・理解・中世
文化人類学への誘い,"文化人類学の基礎的な概念を学び、多様な世界観・価値観の存在を認識することにより、「他者」にとっての「あたりまえ」を探っていく。様々な社会・民族の生活や慣習、モノの見方、「人間という存在」への理解の仕方などを講義で紹介していく。また、異文化理解を深めることによって自文化について再発見し、グローバル化時代における相互理解について考えていく。
この授業は、講義収録動画や授業資料をオンライン配信する「オンデマンド型」で進める。 ",文化人類学・誘い・存在・理解・講義・授業
文学を読み解く楽しみ,"本講義では戦前における韓国の近代文学史を抑えながら、主に日本の近代文学が与えた影響関係を明らかにします。主に韓国のリアリズム文学胎動以降の作品をピックアップして解説します。植民地朝鮮で育まれ近代文学が、植民地という時間軸と、植民地空間という空間軸においてどのように展開されていたか、その特徴を探ります。授業で扱うテキストは日本でも翻訳された作品を扱います。内容によっては映像資料も用い、多様な観点から作品理解を追究します。

この講義ではなるべくテキストを直接手に取って読む機会を増やす予定です。 ",文学・楽しみ・近代文学・作品・植民地・講義・韓国
フィールド・スタディーズ,"多様な学外学修プログラムの中から必ずひとつを選び、休まずに参加する。休まずに参加するだけではなく、全員がその場を積極的に活用することを前提とする。参加した授業プログラムを成功させるためには、プログラムに関することを事前によく調べて、各自が目標と課題を設定して授業に臨むことが必須条件となる。また、学外学修後においては、必ずふりかえりの時間を自ら設け、個人として経験を言語化する必要がある。さらに、継続してそれを発信していくことが望まれる。
具体的内容は各プログラムによって異なります。必ずプログラム一覧、概要、説明資料・動画、シラバスを確認してください。そして、自身でよく考え、よく調べてください。このシラバスに書いてあることを、よく読んでください。 ",フィールド・スタディーズ・プログラム・参加・学外・学修・授業
フィールド・スタディーズ4,"○武蔵野福祉公社の各部署で業務の体験を行う。デイサービス（通所介護サービス）業務、社会活動センター業務・講座体験、在宅介護・地域包括支援センター業務、住宅改修・福祉用具相談支援センター業務、ホームヘルプセンターの訪問介護業務、権利擁護センター業務、成年後見自立支援センター業務、地域包括ケア人材育成センター業務、生活自立支援センター業務、法人運営の総務的業務の体験活動
○高齢者対応の専門家である福祉公社の職員の方々と主体的・能動的に関わり、高齢者総合センターで働く方々の福祉への思いや願い、高齢者に対応する姿勢等から、自らの高齢者福祉活動に対する考えをもてるようにする。 ",フィールド・スタディーズ・業務・センター・福祉・体験・高齢者
フィールド・スタディーズ3,"江東区の児童館の職務を手伝う実習活動を通して、江東区のよさや課題を知り、子どもたちの望ましい生活環境や教育環境の在り方を考える。そのために、事前に江東区について調べ活動を行い、実習後には学んだことの発表を行う。
本プログラムは児童福祉施設における対面実習を前提としており、施設の指示に基づき三密対策を十分に講じたうえで学外実習や学外学修を行う予定である。事前・事後の講義は状況に応じてオンラインで対応をする。
大学の方針により対面実施が不可となった場合、その他のオンラインプログラムをご案内する場合がある。　 ",フィールド・スタディーズ・実習・江東区・活動・事前・プログラム
フィールド・スタディーズ1,"江東区の文化施設等で働く職員の仕事を手伝う活動を通して、江東区の特色を知り、江東区に住む人々の安全で健康な暮らしや福祉を考える地方行政や市民生活について学び、課題や解決方法を考える。子どもたちの望ましい生活環境や教育環境の在り方を考える。そのために、事前に江東区について調べ活動を行い、実習後には学んだことの報告・発表を行う。
大学の方針により対面実施が不可となった場合、その他のオンラインプログラムをご案内する場合がある。また、区役所の都合に合わせて日程を設定するので、短期等期間の変更があり得る。　 ",フィールド・スタディーズ・江東区・活動・文化施設・職員・仕事
フィールド・スタディーズ2,"江東区の児童館の職務を手伝う実習活動を通して、江東区のよさや課題を知り、子どもたちの望ましい生活環境や教育環境の在り方を考える。そのために、事前に江東区について調べ活動を行い、実習後には学んだことの発表を行う。
本プログラムは児童福祉施設における対面実習を前提としており、施設の指示に基づき三密対策を十分に講じたうえで学外実習や学外学修を行う予定である。事前・事後の講義は状況に応じてオンラインで対応をする。
大学の方針により対面実施が不可となった場合、その他のオンラインプログラムをご案内する場合がある。　 ",フィールド・スタディーズ・実習・江東区・活動・事前・プログラム
フィールド・スタディーズ発展1A,日本を代表する陶芸家の一人である伊藤麻沙人先生の指導の下に、各自自宅で器を作り、工房見学と作陶体験をします。オンライン授業では、伊藤先生から「陶芸の歴史と鑑賞法」を学び、その美しさと奥深さを味わいます。また、同じくオンライン授業で小川桂一郎客員教授による「陶芸の科学」、菅原克也教授による「文化史からみた陶芸」を受講し、作陶について多角的に学びます。最後に各自制作した作品のオンライン発表会を行います。 ,フィールド・スタディーズ・発展・A・オンライン・陶芸・各自・陶・授業
フィールド・スタディーズ発展1B,"タイ語の表記（文字）を中心にタイと東南アジアの文化の諸相について学ぶ。
事前講義は3,4学期に10回、対面で行う。授業は動画配信も行う。

春期休暇中に7日程度のタイ学外学修を行う。

帰国後に1回、事後授業を行う。

ただし大学の方針により対面実施が不可となった場合はプログラムの特性上オンライン実施が不可のため、プログラム中止となり単位は取得できません。 ",フィールド・スタディーズ・発展・1B・タイ・対面・授業・実施・不可
フィールド・スタディーズ発展2B,"台湾について一歩踏み込んで深く学び、そして考える講座。
講義内容は歴史、文化、言語、民俗、日本との関りなど、多岐にわたるが、
本講座を通じ、全体像として隣国・台湾に対するイメージを培い、
「台湾」を偏りなく理解し、語れる人材を育て上げることを目的とする。

台湾現地研修は現地の人々との交流を通じ、
異文化理解、コミュニケーション、国際感覚の培養、実際の生活体験など、
さまざまな切り口から「異文化」に触れ、国際人としての「感覚」を磨く。
さらに、異なった文化背景を持つ人々との接触を通じ、
「自分とは何か」、「日本人とは何か」を見つめ直し、
そこから、国際社会において、「いかに生きていくか」というポイントを模索する。
台北のみならず、地方都市や田舎の魅力にも触れ、人々との交流も実施。
コースには古民家宿泊体験やフルーツ農場の参観など、
通常の旅行では体験しえない素材をたっぷり盛り込む。

台湾研修ができず、オンライン講義となった場合は、
台湾に対しての知識や理解を培養するだけでなく、
台湾の「空気」を伝えるべく、講師の日常生活や取材体験などを講義に盛り込み、
楽しく台湾の姿に触れることも重視する。


講義・台湾現地研修についての共通事項として、「学ぶことのアプローチ」を重視する。
具体的には以下を学生に伝えていく。

１　どんなことでもじっと見つめてみる
２　自分なりの仮説を立てる
３　複数のアプローチで、その仮説を実証・検証する
４　整理したことを記録する（メモ）する
５　以上の過程を自分の言葉で表現する
６　複数のツールを用い、発信する

※　具体的な手法と事例は授業の中で詳しく解説していく。 ",フィールド・スタディーズ・発展・2B・台湾・体験・講義・理解・現地
フィールド・スタディーズ発展2C,"実社会における企業の社会的責任の理解を深めるために、ニッセイエブロ社および他社のCSR報告書を、学生が中心となり作成し，国連グローバルコンパクト事務局に提出する．さらに、ニッセイエブロ社を対象に、国連が宣言した持続可能な開発目標であるSDGｓ実践例として、分析し、それらの情報発信を行う．
適宜、教員立ち合い無しの学生のみのグループディスカッションなども実施し、学生主体の学びを実践する．
また、担当教員や受入先指示のもと、調査や資料作成などを行う可能性がある. ",フィールド・スタディーズ・発展・C・学生・ニッセイエブロ・作成・実践・教員
フィールド・スタディーズ発展2D,"映画制作の道のりは、おもに、三つに分かれています。
先ず、一つ目は、プリプロダクションと言います。これは準備期間を意味します。取材によって、企画書、脚本を作成し、それをもとに、キャスティング、ロケーションハンティングなどを行います。
二つ目は、プロダクション。プロダクションは撮影期間です。撮影では、撮影部、録音部、制作部、演出部、俳優部（外部から俳優を要請する予定ですが、受講者が出演する場合もあります）など、様々な部署があります。皆さんには興味のあるパートを選択してもらい、それぞれの役割を担ってもらいます。因みに、撮影機材は、プロが使用するカメラやマイクや照明を使います。
三つ目は、ポストプロダクションと言います。これは、仕上げ期間です。「ラッシュ」と呼ばれる撮影された映像素材をみんなで観て、議論を重ねながら編集し、作品を完成させます。このようなプロセスを経験することで、映像制作の基礎的な力を身につけることができます。
加えて、映像制作のだいご味は「集団創造」です。主体的に思考し、調査し、行動し、チームで協力しあうことで、はじめてひとつの作品が創造できることを体感してもらいます。
また、地域や企業と連携することで、社会や産業界の現状を理解し、その解決策、実行力を身につけてもらいたいと思います。

＊注意事項
・西東京市と連携し、市のPR短編映画を制作するため、基本的に学外学習は「西東京市」で行います。
・撮影機材の関係上、事前、事後学習は基本的に「武蔵野キャンパス」で行います。
・スケジュールは、「授業計画」欄に記載していますので必ず確認してください。
・新型コロナウィルスの影響により、オンライン授業になった場合は「集団制作」ではなく「個人制作」に変更となる可能があります。
「教員が指定した学外の施設に学生一人に行く」、「教員立ち合い無しでZOOM等を使用し、受入先・実習先へのヒアリング・インタビューをする」などを行う可能性もあります。 ",フィールド・スタディーズ・発展・2D・制作・撮影・映像・プロダクション・期間
フィールド・スタディーズ発展2A,"SDGsの目標８が目指す「働きがい」と「経済成長」を達成するためには，会社の求める人材像を知り，自分自身を知る必要があります．それらが上手くマッチしない社会からは「働きがい」も「経済成長」も失われてしまうでしょう．

本プログラムは，「（１）人事部門等で働く人々へのインタビューを通して，会社が求める人材像を理解する」，「（２）ワークショップ等に参加することを通して，自己分析のためのメソッドを理解する」，という２つの目標を置いています．さらに，そこで身に着けた知識やメソッドを応用して，履修学生の皆さん自身だけではなく，皆さんの周りの人々に対しても「働きがい」を創り出せる人材になることを最終的な目的としています．

したがって，プログラムの最後に，皆さんが主催者となりワークショップを開催する予定です．そこでは，皆さんが学んだ知識やメソッドを応用することを通して，ワークショップに参加してくれた学生達が将来「働きがい」を持って仕事に向き合えることに，少しでも貢献できるような場にしたいと考えています．

卒業後には，人事部門の社員や，現場のマネジャーやメンターとして，周りの社員の「働きがい」を創り出せる人材となることを期待しています．

なお，本講義は，キャリア教育を専門とする外部講師の小島聖子先生との協力の下で設計・開催されます．

以下，注意点です．

・本プログラムは対面実習を前提としたプログラムです．三密対策を十分に講じたうえで学外学修を実施します．

・大学の方針により対面実施が不可となった場合，履修者全員がオンラインプログラムへ移行します．オンラインに切り替わっても途中で履修の辞退はできません． ",フィールド・スタディーズ・発展・A・働きがい・プログラム・人材・皆さん・ワークショップ
フィールド・スタディーズ発展3D,"映画制作の道のりは、おもに、三つに分かれています。
先ず、一つ目は、プリプロダクションと言います。これは準備期間を意味します。取材によって、企画書、脚本を作成し、それをもとに、キャスティング、ロケーションハンティングなどを行います。
二つ目は、プロダクション。プロダクションは撮影期間です。撮影では、撮影部、録音部、制作部、演出部、俳優部（外部から俳優を要請する予定ですが、受講者が出演する場合もあります）など、様々な部署があります。皆さんには興味のあるパートを選択してもらい、それぞれの役割を担ってもらいます。因みに、撮影機材は、プロが使用するカメラやマイクや照明を使います。
三つ目は、ポストプロダクションと言います。これは、仕上げ期間です。「ラッシュ」と呼ばれる撮影された映像素材をみんなで観て、議論を重ねながら編集し、作品を完成させます。このようなプロセスを経験することで、映像制作の基礎的な力を身につけることができます。
加えて、映像制作のだいご味は「集団創造」です。主体的に思考し、調査し、行動し、チームで協力しあうことで、はじめてひとつの作品が創造できることを体感してもらいます。
また、地域や企業と連携することで、社会や産業界の現状を理解し、その解決策、実行力を身につけてもらいたいと思います。

＊注意事項
・西東京市と連携し、市のPR短編映画を制作するため、基本的に学外学習は「西東京市」で行います。
・撮影機材の関係上、事前、事後学習は基本的に「武蔵野キャンパス」で行います。
・スケジュールは、「授業計画」欄に記載していますので必ず確認してください。
・新型コロナウィルスの影響により、オンライン授業になった場合は「集団制作」ではなく「個人制作」に変更となる可能があります。
「教員が指定した学外の施設に学生一人に行く」、「教員立ち合い無しでZOOM等を使用し、受入先・実習先へのヒアリング・インタビューをする」などを行う可能性もあります。 ",フィールド・スタディーズ・発展・3D・制作・撮影・映像・プロダクション・期間
フィールド・スタディーズ発展3C,"（内容）
広告・ブランディング分野で働くコピーライターの技術やノウハウを学び、情報のアウトプット力（取材やヒアリングにより情報を集め、整理し、伝わるように言語化、編集、発信する力）を高める。本プログラム「コピーライティング応用（発展3C）」では、社会で働くクリエイターと対話する機会を増やしたり、より外部連携企業、自治体の課題解決に貢献することを目指した活動に取り組む。
企業、製品のブランディング・広告制作を担うコピーライターとして、または企業・自治体の宣伝・広報部門で活躍する人材になるための実践的な力を身につける。

（プログラム形態）
本プログラムは「事前学修」「事後学修」はZOOMによるオンラインでの実施を基本とします（武蔵野・有明の両キャンパスの学生が参加しやすいように）。「学外学修」は対面実習を前提としたプログラムとなり、三密対策を十分に講じたうえで学外学修を実施します。しかし、大学の方針により対面実施が不可となった場合は、履修者全員でオンラインプログラムへ移行します。オンラインに切り替わっても途中で履修の辞退はできません。

オンライン学外学修の実施方法としては、「ZOOM等を使用し、受入先・実習先へのヒアリング・インタビューを行う（教員立会いあり・なし両方）」「ZOOM等を使用し、グループディスカッション、共同作業を行う（教員立会いあり・なし両方）」「ZOOM等を使用し、発表・プレゼンテーションを行う（教員立会いあり）」を予定しています。 ",フィールド・スタディーズ・発展・C・プログラム・学修・ZOOM・オンライン・実施
フィールド・スタディーズ発展4D,"長野県信濃町の課題発掘と課題解決のための調査考察を行う。地方創生、地域活性化、6次産業などにおける他の地域の事例を抽出し、より多角的に地域の課題抽出を理解する。前半はグループでの活動を行い、町役場での発表を目指して提案をまとめる。後半は個人でのテーマを発掘し、論文としてまとめる。
前年度までに学んできた手法、考え方を活用し、より積極的に情報の収集、発信を試みる。さらに、実社会との接点となる実践的な提案にチャレンジする。チームだけでなく、受講者全般の活動をリードする。

対面授業が不可となった場合、学外学修の日程を変更して、夏休み中にオンライン授業を行います。12日間の集中講義の予定。
オンライン授業では教員立ち合い無しのグループディスカッションやメールなどによる現地へのヒヤリング調査なども行います。 ",フィールド・スタディーズ・発展・4D・授業・課題・発掘・調査・地域
フィールド・スタディーズ発展3B,"１．プログラム形態について
本プログラムは対面実施を前提とした学外学修プログラムとなり、三密対策を十分に講じたうえで海外研修を実施します。
２．大学の方針により対面実施が不可となった場合の代替オンラインプログラムの有無について
学外学修プログラムは大学の方針により海外渡航が不可となった場合、国内での代替プログラムの実施を予定しています。国内外ともに学外での学修が不可となった場合、実施時期の延期やオンラインプログラムへの移行等を予定しております。実施形態や実施時期が変更となっても、原則として途中で辞退はできません。 ",フィールド・スタディーズ・発展・3B・プログラム・実施・学外・学修・不可
インターンシップ(事前研究),"インターンシップに必要な最低限の知識、能力、心構えなどを理解する。
本講義を通して、自らの進路決定に向けての準備をおこない、企業や自治体などで「働く」ために必要な基礎的な力を身につけることが期待される。 ",インターンシップ・事前・研究・必要・最低限・知識・能力
インターンシップ１,"・大学の長期休暇期間等を利用して、企業や自治体等で5日以上10日未満の就業体験を行う。
・志望業界・職種の実際を理解し、自己の将来設計に結び付ける。
・実習を通して、大学での学びの必要性を再認識する
・実習前に事前指導「インターンシップ（事前研究）」を必ず受講する。
・実習後、実習成果報告課題（動画）を作成し、その過程で実習の体験を整理する。 ",インターンシップ・実習・大学・事前・長期・休暇
インターンシップ２,"・大学の長期休暇期間等を利用して、企業や自治体等で10日以上の就業体験を行う。
・志望業界・職種の実際を理解し、自己の将来設計に結び付ける。
・実習を通して、大学での学びの必要性を再認識する
・実習前に事前指導「インターンシップ（事前研究）」を必ず受講する。
・実習後、実習成果報告課題（動画）を作成し、その過程で実習の体験を整理する。 ",インターンシップ・実習・大学・事前・長期・休暇
全学教養ゼミナール1,"タイ語を学ぶ。発音の組織、文法、基本表現、表記法を一通り学び、基礎的な運用能力を修得する。
タイ語は、発音の仕組みも、文法も、表記（文字）も日本語とは大きく異なっている言語である。タイ語を学ぶことで、言語というものに対する理解が深まり、しいては人間や世界についての理解が深まることを大きな目標とする。 ",全学・教養・ゼミナール・発音・文法・タイ語・言語・理解
全学教養ゼミナール2,私たちの生活を照らしだしてくれるものとしての詩、生活の細部に気づかせてくれるものとしての詩、生活に潤いを与えてくれるものとしての詩をとりあげる。古今東西の詩のなかから、この授業では日本の近代の詩に対象をしぼって紹介し、かつその読み方について考察する。あわせて日本近代詩史の流れを学ぶ。具体的な詩のテキストをこまやかに読み、あじわう場にしたい。 ,全学・教養・ゼミナール・詩・生活・日本・近代・私たち
武蔵野市自由講座,まちづくりの担い手は「市民」です。地域にある様々な問題や生きづらさは、地域で暮らす誰にとっても、他人事ではありません。どこかで誰かが生きづらさを抱えている、そんな地域を誰もが自分らしく暮らせる地域に変えていくために、本講座では、市民のみなさんが仲間をつくり、ともにまちづくりに取り組む市民活動の方法や考え方を学びます。また、様々な市民活動の実践に取り組んでいる方をゲストスピーカーにお招きし、一緒にまちづくりや市民活動を考えます。 ,武蔵野市・自由・講座・地域・まちづくり・市民活動・市民・担い手
証券ビジネス論,"直接金融への期待が高まる現在、資本市場に求められる役割とは何かを考える。
激変する日本や世界の資本市場の全容と、投資のリスク＆リターンの考え方、株式投資・債券投資・グローバル証券投資・分散投資の方法などを解説する。
野村證券社員が講師を務め、仕事の中で経験した実例などを折り込み講義を行う。 ",証券・ビジネス・投資・資本市場・直接金融・期待・現在
日本文学研究Ⅵ(児童文学と詩の研究),明治以降、大人が子どもという存在を意識して詩（詞）をつくるようになった。そうした子どものうたの成立と変遷をたどることで、近現代詩と児童文学の両ジャンルを理解する。あわせて、時代や社会とともにある文学観や子ども観の変化を見わたし、分析するための視座を得ることを目指す。 ,研究・日本文学・児童文学・詩・子ども・明治以降・大人・存在
日本の演劇(古典芸能),"能楽（能・狂言）は室町時代（中世）に芸術的基礎を固めた古典芸能であり、人形浄瑠璃文楽・歌舞伎・組踊は江戸時代（近世）に成立した古典芸能である。
この四つのジャンルに共通していることは、音楽・舞踊・演劇が不可分に融合している総合芸術である点である。
また、能楽は人形浄瑠璃文楽・歌舞伎・組踊に多大な影響を与え、人形浄瑠璃文楽と歌舞伎は同じ作品を共有しているなど、相互に深い関連を持っていることも言える。
本講義では以下の四つの視点から日本の古典芸能へのアプローチを試みる。
１　古典芸能の歴史的な流れを概観し、能楽・人形浄瑠璃・歌舞伎・組踊などの古典芸能の特徴を学ぶ。
２　蛇に変身した女性が男性を追いかけるというモチーフが、古代の歴史書『古事記』から現代のゲームまで、広く日本の芸能・文学などに見られる。このモチーフが能楽・人形浄瑠璃文楽・歌舞伎・組踊などの古典芸能にどう描かれているかを、それぞれの作品の講読と鑑賞を通じて理解する。
３　以上を踏まえて、総合的視野から日本の古典芸能を理解する。
４　古典芸能の文化財としての価値を理解する。その方法として、古典芸能を未来に継承していく意味を検討し、自分自身の考えを深めていく。 ",日本・演劇・古典芸能・歌舞伎・能楽・人形浄瑠璃文楽・組踊
中国語翻訳演習A,教科書に記される時事問題を利用して、「中国語から日本語への翻訳」と「日本語から中国語への翻訳」の練習をおこなう。予習として日本語訳と中国語訳を準備し、受講生の全員参加により、様々な訳文を学ぶ。 ,中国語・翻訳・演習・A・日本語・教科書・時事問題
中国語翻訳演習B,教科書に記される時事問題を利用して、「中国語から日本語への翻訳」と「日本語から中国語への翻訳」の練習をおこなう。予習として日本語訳と中国語訳を準備し、受講生の全員参加により、様々な訳文を学ぶ。 ,中国語・翻訳・演習・B・日本語・教科書・時事問題
中国語翻訳演習C,本講義では日本語から中国語に訳すことを中心にします。中級レベルの中国語学習者が翻訳者になるために必要な能力を「言語感覚」、「分析力」、「想像力」、「速習力」、「表現力」、「対応力」の６つにブレイクダウンしてとらえ、これらの能力を最短距離で総合的に育成します。翻訳の基本要素、規則や注意点などを説明しながら多くの例文を出して訳す練習を行います。一つの言い方は直訳と意訳のどれが適当なのか何度も推敲し、みなさんが納得できる訳文にします。また、短文を事前準備し、毎回、翻訳の練習と発表をし、翻訳の力をみにつけるようにします。 ,中国語・翻訳・演習・C・能力・練習・講義
中国語翻訳演習D,本講義ではCに続き、中級レベルの中国語翻訳者になるために必要な能力を「言語感覚」、「分析力」、「想像力」、「速習力」、「表現力」、「対応力」の６つにブレイクダウンしてとらえ、これらの能力を最短距離で総合的に育成する。主に文章の背後に存在するマインドセット（具体的には思考や価値観、文化）や各言語特有の表現を体系的に理解することができる。それから、文脈を踏まえた最適な訳語を選択できているかどうかを自力で吟味する習慣を身につける。 ,中国語・翻訳・演習・D・能力・言語・講義・C・中級
中国語通訳演習A,"通訳は単なる一つの言語から他の言語へ移し換えるだけの作業ではなく、一つの専門的な学問です。いい訳文ができるには広い知識、中国語と日本語の両方のレベルが必要になります。「通じる訳文」から「受け入れる訳文」へ、中級レベルの通訳者を目指せる力を身につけます。
翻訳通訳資格試験（CATTI）三級合格を目指します。 ",中国語・通訳・演習・A・訳文・言語・レベル・作業
中国語通訳演習B,"通訳は単なる一つの言語から他の言語へ移し換えるだけの作業ではなく、一つの専門的な学問です。いい訳文ができるには広い知識、中国語と日本語の両方のレベルが必要になります。「通じる訳文」から「受け入れる訳文」へ、中級レベルの通訳者を目指せる力を身につけます。
翻訳通訳資格試験（CATTI）三級合格を目指します。 ",中国語・通訳・演習・B・訳文・言語・レベル・作業
中国語通訳演習C,教科書に記されるトピックを利用して、「中国語から日本語への通訳」と「日本語から中国語への通訳」の練習をおこなう。 ,中国語・通訳・演習・C・日本語・教科書・トピック
中国語通訳演習D,教科書に記されるトピックを利用して、「中国語から日本語への通訳」と「日本語から中国語への通訳」の練習をおこなう。 ,中国語・通訳・演習・D・日本語・教科書・トピック
